ABSENT,COMPLX,SATIS,SENIOR
0,45,4,3
1,76,4,10
0,56,1,9
2,76,3,7
0,70,3,14
1,69,3,9
1,56,4,3
1,56,4,1
2,43,1,9
1,76,3,1
3,30,2,1
2,50,4,9
1,10,4,1
3,69,2,4
2,67,3,3
0,69,1,4
4,70,2,8
7,13,2,1
3,16,3,3
2,52,1,5
2,52,1,16
4,3,2,2
2,6,3,4
0,67,3,6
3,10,3,1
3,89,3,18
3,21,2,2
0,34,3,4
2,12,4,6
3,70,2,2
1,69,3,11
4,13,2,1
2,30,4,13
1,43,2,1
3,8,2,2
2,69,2,2
4,30,4,1
4,23,2,1
4,16,4,1
3,11,3,1
2,16,3,1
6,50,1,2
3,50,3,2
1,69,3,4
2,10,3,2
1,43,3,26
1,12,4,1
3,76,2,5
2,56,3,2
0,6,3,8
0,8,5,3
1,45,4,2
3,43,3,5
6,23,3,1
3,1,5,7
2,82,3,1
2,1,3,1
4,1,5,1
3,70,3,4
0,76,3,6
0,82,3,7
1,50,3,9
1,70,3,8
1,81,3,5
2,70,3,9
3,1,4,2
2,8,5,1
2,23,4,2
2,21,4,12
2,82,3,7
1,67,4,28
0,81,3,18
1,43,3,6
4,6,3,3
3,13,2,8
2,52,1,7
3,52,3,1
