Address,Asking Price,Lot Size,Living Space,Yearly Taxes,Central A/C,Bedrooms,Bathrooms,Age,Parking Spaces,Finished Basement,Brick,Fireplace
218 Windridge Acres Court,450.0,0.27,2040,4176,1,4,3.5,29,2,1,0,0
2424 White Horse Lane,539.0,0.41,2661,5004,0,5,3,52,1,0,1,0
12103 Bushey Drive,309.0,0.14,1188,2868,1,3,1,65,0,0,1,1
14 Wellwood Court,549.0,0.43,2710,5088,0,4,3.5,43,0,0,0,1
11511 Bucknell Drive,494.0,0.22,2312,4584,1,5,2.5,54,0,0,1,0
1007 Nora Drive,425.0,0.29,2081,3948,0,5,3.5,55,0,1,1,1
2609 Weisman Road,419.9,0.19,2808,3900,1,7,4,56,0,0,1,0
1119 Netherlands Court,437.5,0.36,1860,4056,1,4,2.5,35,1,1,0,1
1013 Robroy Drive,468.9,0.21,2140,4344,1,4,3,57,0,1,1,1
4404 Mahan Court,369.9,0.23,1475,3432,0,3,1.5,59,0,0,1,0
10213 Colesville Road,550.0,0.12,1197,5100,1,5,3,69,0,0,0,1
508 Silver Spring Avenue,368.0,0.14,832,3408,0,2,1,81,0,1,0,1
1000 Hobbs Drive,489.0,0.59,1400,4536,1,4,3,62,1,1,0,1
12719 Feldon Street,369.9,0.18,936,3432,1,3,2,63,0,1,1,1
8816 Glenville Road,332.0,0.16,1848,3984,0,4,2,107,0,0,0,0
1006 Carson Street,420.0,0.13,1181,3900,1,3,1.5,66,0,0,1,1
8505 Mayfair Place,595.0,0.14,1375,5520,0,3,1.5,71,1,1,1,1
2004 Gatewood Place,550.0,0.21,2488,5208,1,3,1.5,52,0,1,0,1
2302 Eccleston Street,439.0,0.16,1131,4068,0,4,2,68,0,1,1,1
13519 Cedar Creek Lane,584.5,0.32,2758,5424,1,4,3.5,30,1,0,0,1
11601 Mapleview Drive,450.0,0.18,1440,4176,1,4,3,66,0,1,1,0
2123 Cherry Leaf Lane,569.0,0.27,2807,5292,0,5,3.5,29,2,0,0,1
2700 Bel Pre Road,459.9,0.37,1483,4272,1,4,3,39,1,1,0,0
15530 Thompson Road,669.9,0.78,3313,6216,1,6,4.5,18,1,1,0,1
11401 Clara Street,418.0,0.17,1652,3876,1,4,2.5,58,1,1,1,0
10624 Eastwood Avenue,469.0,0.15,1329,4356,1,4,3,65,0,1,1,1
509 Jaystone Place,579.0,0.59,2634,5376,1,5,4,30,2,0,0,1
2405 East Gate Drive,479.9,0.37,2799,4452,0,5,3.5,52,2,1,1,1
3420 Kilkenny Street,480.0,0.27,1891,4452,1,3,3.5,52,0,1,0,1
810 Venice Drive,464.9,0.29,1310,4308,0,4,3,58,1,1,1,1
305 Southwest Drive,459.9,0.39,2201,4272,1,3,3,64,1,1,1,1
13116 Hutchinson Way,619.0,0.25,3160,5748,1,5,3.5,29,2,0,0,1
1704 Lansdowne Way,599.0,0.16,1442,5556,0,3,3,62,0,1,1,1
1626 Maydale Drive,599.9,0.50,2304,5568,1,6,3.5,37,2,1,0,1
9304 Wire Avenue,585.0,0.16,1363,5424,1,4,2.5,82,0,0,1,1
11605 ConneCourticut Avenue,499.9,0.15,1276,4644,1,5,3,46,0,0,1,0
2306 Falling Creek Road,504.9,0.42,2220,4680,1,4,2.5,38,2,0,0,1
108 Claybrook Drive,479.9,0.26,1920,4452,1,4,3.5,55,0,1,1,1
905 Brentwood Lane,535.0,0.22,2484,4968,1,4,2.5,52,0,0,1,1
1326 Canyon Road,424.9,0.21,1287,3936,1,4,3,53,0,1,0,0
1305 Peaceful Lane,375.0,0.25,1682,3480,1,4,2.5,52,1,1,0,1
8910 Lanier Drive,549.0,0.15,2275,5088,1,3,2.5,39,0,0,0,0
939 Norwood Road,346.0,0.30,1313,3204,1,4,2.5,69,1,1,0,0
12725 Bexley Terrace,449.9,0.49,1490,4176,1,4,3,50,0,1,0,1
205 Dearborn Avenue,535.0,0.14,1872,4968,1,3,2,69,0,0,1,1
2714 Sheraton Street,269.9,0.16,972,2508,1,3,2,67,0,0,0,0
11316 Galt Avenue,385.0,0.17,858,3576,1,4,2,68,0,1,1,0
9709 Grayson Avenue,399.9,0.19,1264,3708,1,3,2,71,0,0,1,1
10917 Glenhaven Parkway,500.0,0.14,1280,4644,1,5,3,49,1,0,1,1
9707 Lawson Place,590.0,0.13,1960,5472,1,4,2,77,1,1,1,1
14205 Alderton Road,700.0,0.46,4016,6492,1,5,3.5,12,2,1,0,1
10405 Grandin Road,379.9,0.13,1291,3528,1,3,3.5,68,0,0,0,0
808 Tanley Road,489.9,0.46,1590,4548,0,3,2,69,1,0,0,0
14501 Cobblestone Drive,518.0,0.45,2549,4800,1,5,3,50,2,0,0,1
2205 Countryside Drive,434.9,0.33,1440,4032,1,3,2.5,46,1,1,0,1
13121 Valleywood Drive,439.9,0.17,1162,4080,1,4,3,21,1,1,0,0
321 University Blvd East,450.0,0.15,1520,4176,1,3,2.5,70,1,1,1,1
2025 Edgewater Parkway,529.9,0.24,2664,4920,1,5,4,52,1,0,1,1
1417 Crockett Lane,360.0,0.24,1784,3336,1,4,2.5,32,1,0,0,1
807 Copley Lane,625.0,0.88,2221,5796,1,4,2,65,2,0,0,1
9013 Sudbury Road,549.0,0.22,1305,5088,1,4,2,59,1,1,1,1
