SALES,ADV
381,5316.8
383.9,5413.2
384.4,5486.9
370.5,5537.8
396.4,5660.6
421.8,5750.8
379.2,5782.2
390.9,5781.7
420.9,5821.9
408.8,5892.5
407.2,5950.2
408.4,6002.1
444.2,6121.8
437.2,6201.2
376.1,6271.7
454.6,6383.1
459.2,6444.5
478.2,6509.1
492.8,6574.6
541.2,6704.2
512,6794.3
562,6911.4
590.1,6986.5
617.7,7095.7
629.3,7170.8
653.9,7210.9
698.6,7304.8
707.8,7391.9
735.9,7495.3
748.3,7629.2
755.4,7703.4
762,7818.4
794.3,7955
815.5,8063.4
840.9,8170.8
820.8,8254.5
