SALES,TIME,POTENT,ADV,SHARE,SHARECHG,ACCTS,WORKLOAD,RATING
3669.8800,43.1000,74065.1000,4582.9000,2.5100,0.3400,74.8600,15.0500,4.9000
3473.9500,108.1300,58117.3000,5539.8000,5.5100,0.1500,107.3200,19.9700,5.1000
2295.1000,13.8200,21118.5000,2950.4000,10.9100,-0.7200,96.7500,17.3400,2.9000
4675.5600,186.1800,68521.3000,2243.1000,8.2700,0.1700,195.1200,13.4000,3.4000
6125.9600,161.7900,57805.1000,7747.1000,9.1500,0.5000,180.4400,17.6400,4.6000
2134.9400,8.9400,37806.9000,402.4000,5.5100,0.1500,104.8800,16.2200,4.5000
5031.6600,365.0400,50935.3000,3140.6000,8.5400,0.5500,256.1000,18.8000,4.6000
3367.4500,220.3200,35602.1000,2086.2000,7.0700,-0.4900,126.8300,19.8600,2.3000
6519.4500,127.6400,46176.8000,8846.2000,12.5400,1.2400,203.2500,17.4200,4.9000
4876.3700,105.6900,42053.2000,5673.1000,8.8500,0.3100,119.5100,21.4100,2.8000
2468.2700,57.7200,36829.7000,2761.8000,5.3800,0.3700,116.2600,16.3200,3.1000
2533.3100,23.5800,33612.7000,1991.8000,5.4300,-0.6500,142.2800,14.5100,4.2000
2408.1100,13.8200,21412.8000,1971.5000,8.4800,0.6400,89.4300,19.3500,4.3000
2337.3800,13.8200,20416.9000,1737.4000,7.8000,1.0100,84.5500,20.0200,4.2000
4586.9500,86.9900,36272.0000,10694.2000,10.3400,0.1100,119.5100,15.2600,5.5000
2729.2400,165.8500,23093.3000,8618.6000,5.1500,0.0400,80.4900,15.8700,3.6000
3289.4000,116.2600,26878.6000,7747.9000,6.6400,0.6800,136.5800,7.8100,3.4000
2800.7800,42.2800,39572.0000,4566.0000,5.4500,0.6600,78.8600,16.0000,4.2000
3264.2000,52.8400,51866.1000,6022.7000,6.3100,-0.1000,136.5800,17.4400,3.6000
3453.6200,165.0400,58749.8000,3721.1000,6.3500,-0.0300,138.2100,17.9800,3.1000
1741.4500,10.5700,23990.8000,861.0000,7.3700,-1.6300,75.6100,20.9900,1.6000
2035.7500,13.8200,25694.9000,3571.5000,8.3900,-0.4300,102.4400,21.6600,3.4000
1578.0000,8.1300,23736.3000,2845.5000,5.1500,0.0400,76.4200,21.4600,2.7000
4167.4400,58.5400,34314.3000,5060.1000,12.8800,0.2200,136.5800,24.7800,2.8000
2799.9700,21.1400,22809.5000,3552.0000,9.1400,-0.7400,88.6200,24.9600,3.9000
