Date,RMinusRf,RmMinusRf
1/1/2006,-4.59,2.21
2/1/2006,0.39,-0.31
3/1/2006,2.36,0.74
4/1/2006,-1.4,0.84
5/1/2006,2.99,-3.48
6/1/2006,-0.88,-0.38
7/1/2006,4,0.11
8/1/2006,3.54,1.71
9/1/2006,0.05,2.07
10/1/2006,3.37,2.75
11/1/2006,-2.08,1.22
12/1/2006,-0.23,0.86
1/1/2007,0.78,1
2/1/2007,-5.66,-2.61
3/1/2007,-4.67,0.57
4/1/2007,6.15,3.92
5/1/2007,-1.21,2.86
6/1/2007,-2.98,-2.15
7/1/2007,-2.22,-3.59
8/1/2007,2.48,0.94
9/1/2007,6.02,3.27
10/1/2007,-1.12,1.17
11/1/2007,4.29,-4.71
12/1/2007,-1.76,-1.1
1/1/2008,-5.56,-6.34
2/1/2008,-1.41,-3.66
3/1/2008,4.58,-0.71
4/1/2008,3.33,4.67
5/1/2008,0.03,0.92
6/1/2008,-3.74,-8.74
7/1/2008,6.28,-1.12
8/1/2008,3.4,1.08
9/1/2008,-1.71,-9.15
10/1/2008,-11.49,-16.97
11/1/2008,-3.7,-7.49
12/1/2008,2.12,0.78
1/1/2009,-3.58,-8.57
2/1/2009,-12.61,-11.01
3/1/2009,5.19,8.53
4/1/2009,-0.47,9.38
5/1/2009,6.27,5.3
6/1/2009,2.97,0.01
7/1/2009,7.17,7.4
8/1/2009,0.06,3.35
9/1/2009,0.74,3.57
10/1/2009,-3.02,-1.98
11/1/2009,7.26,5.73
12/1/2009,2.5,1.77
1/1/2010,-2.41,-3.7
2/1/2010,0.98,2.85
3/1/2010,3.48,5.87
4/1/2010,-1.4,1.46
5/1/2010,-8.51,-8.21
6/1/2010,1.3,-5.39
7/1/2010,-1.65,6.86
8/1/2010,-0.94,-4.76
9/1/2010,8.66,8.75
10/1/2010,2.87,3.67
11/1/2010,-2.62,-0.24
12/1/2010,0.48,2.15
