Sales_1000s,PriceDiscount_Percent,RadioExp_1000s,NewspaperExp_1000s
62.72,40,2.27,3
49.65,20,3.78,1.78
54.71,40,2.47,2.53
39.07,10,2.02,1.58
73.25,40,2.79,2.86
61.78,10,4,2.44
59.94,50,2.89,2.27
41.94,20,2.88,1.68
57.69,30,2.48,2.79
58.6,10,3.92,2.14
48.87,20,2.09,1.94
46.91,10,2.68,2.36
53.56,20,3.73,1.77
60.27,50,2.14,2.32
31.04,20,2.2,1.78
64.87,50,3,2.24
70.29,50,3.23,2.47
61.81,20,3.47,2.95
46.61,20,2.88,1.62
53.28,30,2.58,2.37
50.06,10,2.26,2.55
54.8,30,2.28,1.59
43.57,30,2.5,2.68
46.18,10,2.87,2.1
58.83,30,2.84,1.84
60.97,20,2.83,1.63
59.92,50,3.43,1.63
56.83,40,3.7,2.08
40.4,20,2.93,1.52
64.05,40,3.22,2.13
62.18,40,3.59,2.25
63.68,30,3.72,2.44
49.4,10,2.63,2.1
62.1,40,2.22,2.71
64.24,30,3.62,2.36
52.05,10,3.3,2.34
61.31,40,3.52,2.43
46.56,10,2.47,2.76
39.95,20,3.03,1.77
49.95,40,3.57,1.57
