Transfer Time (secs),File Size (MB),Vendor
18.4,22,MS
22.4,22,NP
11.7,22,MS
23.5,22,NP
16.2,23,MS
12.1,23,NP
15.8,26,MS
9.9,26,NP
15.1,26,MS
16.6,26,NP
12.9,27,MS
18,27,NP
16.7,29,MS
17.7,29,NP
19.5,29,MS
9.1,29,NP
15.4,29,MS
15,29,NP
11.3,30,MS
12.8,30,NP
20.9,31,MS
19.9,31,NP
15.8,31,MS
10.5,31,NP
17.8,31,MS
26.4,31,NP
16.6,39,MS
21.9,39,NP
18.5,40,MS
25.9,40,NP
24.5,50,MS
11.2,50,NP
25.2,52,MS
15.4,52,NP
23.1,54,MS
27.4,54,NP
20.9,54,MS
38.3,54,NP
23.8,56,MS
27.4,56,NP
19.3,59,MS
35.2,59,NP
20.4,59,MS
24.6,59,NP
21.8,60,MS
20.6,60,NP
17.4,60,MS
31.9,60,NP
22.4,63,MS
25.9,63,NP
25.9,64,MS
32.1,64,NP
22.6,71,MS
37.4,71,NP
25.3,73,MS
19.1,73,NP
25.4,74,MS
41.1,74,NP
28.9,75,MS
32.4,75,NP
28.3,86,MS
43.8,86,NP
25.4,89,MS
43.4,89,NP
33.4,89,MS
49.9,89,NP
28.6,89,MS
45.8,89,NP
28.5,90,MS
32.7,90,NP
35.6,91,MS
45.6,91,NP
24.5,93,MS
41.2,93,NP
33.3,95,MS
35.6,95,NP
31.4,98,MS
43.1,98,NP
35.5,99,MS
52.6,99,NP
