CalendarDate,Sony_Percent_Change,Market_Percent_Change,Dow_Percent_Change,Small_Minus_Big,High_Minus_Low
1/31/1995,-16.6784,1.6199,-0.1743318,-2.95,1.67
2/28/1995,-7.5809,3.5615,3.94953406,-0.33,0.37
3/31/1995,12.2483,2.2441,3.19590057,-0.35,-2.04
4/28/1995,3.6521,2.0648,3.49439626,-0.41,1.73
5/31/1995,-4.2255,2.8607,2.78934531,-2.24,1.97
6/30/1995,-1.4904,2.6473,1.56711418,3.07,-2.99
7/31/1995,11.4057,3.6283,2.89430763,2.22,-2.15
8/31/1995,1.1429,0.4605,-2.5494441,1.84,1.89
9/29/1995,-4.0676,3.2062,3.44198084,-2.02,-0.92
10/31/1995,-13.9452,-1.6017,-1.1715961,-3.99,-0.08
11/30/1995,17.3396,3.8508,6.28826079,-0.81,0.34
12/29/1995,13.4311,1.0291,0.35008442,0.42,1.41
1/31/1996,0.5883,2.3844,5.00626102,-2.44,0.36
2/29/1996,-6.0352,1.241,1.28404964,2.06,-2.32
3/29/1996,3.8579,0.7027,1.46065681,1.31,1.23
4/30/1996,5.7128,2.0911,-0.7832423,4.89,-3.98
5/31/1996,-1.0014,2.26,0.91056088,3.22,-1.38
6/28/1996,2.7189,-1.2298,-0.1971002,-3.68,1.93
7/31/1996,-3.6636,-5.8319,-2.6733108,-3.57,4.39
8/30/1996,-1.5819,2.8363,1.16897307,2.31,-0.59
9/30/1996,0.4585,4.8615,4.29557791,-0.82,-3.83
10/31/1996,-5.7245,0.9432,2.08264783,-4.11,4.81
11/29/1996,6.8514,6.1402,7.75535033,-3.6,0.21
12/31/1996,1.0874,-1.5958,-1.5859334,3.15,0.94
1/31/1997,2.2167,4.8949,5.20764151,-1.51,-2.3
2/28/1997,7.0312,-0.5044,0.55890864,-2.57,4.72
3/31/1997,-4.6351,-4.912,-4.7084403,-0.3,3.88
4/30/1997,5.7183,3.8003,6.03329905,-5.14,-1
5/30/1997,15.694,6.6724,4.10481323,4.79,-4.35
6/30/1997,2.8558,4.0445,4.29168511,1.52,0.7
7/31/1997,15.266,7.2202,6.73584189,-2.42,-0.38
8/29/1997,-13.8538,-4.0367,-7.7092639,7.48,1.03
9/30/1997,6.3884,5.4033,3.79540031,2.68,-0.28
10/31/1997,-10.5996,-3.8728,-6.7530841,-0.81,2.31
11/28/1997,-1.427,2.6559,4.73020833,-5.05,1.03
12/31/1997,8.2026,1.2972,0.60805555,-2.34,3.82
1/30/1998,3.0135,0.0229,-0.4521288,-1.01,-1.82
2/27/1998,-4.0518,6.933,7.6947404,0.21,-0.72
3/31/1998,-6.0735,4.7424,2.58330125,-1.18,1.67
4/30/1998,-0.577,0.6562,2.56506467,0.46,0.31
5/29/1998,-1.7245,-2.9755,-2.2030821,-3.58,4.27
6/30/1998,2.2746,2.7855,0.17505947,-3.28,-1.84
7/31/1998,-1.6346,-2.7264,-1.1677597,-4.88,-1.08
8/31/1998,-17.2682,-16.1966,-15.562006,-5.7,5.14
9/30/1998,-3.0276,5.9235,3.56635869,-0.16,-3.96
10/30/1998,-4.4146,7.1157,9.23650025,-3.19,-2.71
11/30/1998,10.6957,5.8885,5.79386285,1.12,-3.29
12/31/1998,-1.9185,5.9254,0.33167273,-0.27,-4.8
1/29/1999,1.1257,3.4845,1.58216089,0.67,-5.61
2/26/1999,1.8741,-4.1605,-0.9082963,-5.68,1.71
3/31/1999,22.0627,3.3561,4.72312822,-3.89,-2.88
4/30/1999,0.9305,4.53,9.87794199,3.37,2.45
5/28/1999,0.6735,-2.4121,-2.4653049,3.69,2.69
6/30/1999,17.7271,4.7021,3.49270948,3.37,-4.3
7/30/1999,13.0402,-3.4435,-3.2571831,2.23,0.54
8/31/1999,1.3075,-1.3885,1.24423321,-1.24,-0.99
9/30/1999,17.6312,-2.6768,-4.9362856,3.25,-3.08
10/29/1999,6.0656,5.8149,3.41102448,-6.78,-3.26
