Education_years,ResidRegion,Race1,Race2,Gender,MaritalStatus,PotLbrMktExp_years,UnionStatus,Wages_dollars
10,Not South,Otherwise,Otherwise,Male,Married,27,Otherwise,9
12,Not South,Otherwise,Otherwise,Male,Married,20,Otherwise,5.5
12,Not South,Otherwise,Otherwise,Female,Otherwise,4,Otherwise,3.8
12,Not South,Otherwise,Otherwise,Female,Married,29,Otherwise,10.5
12,Not South,Otherwise,Otherwise,Male,Married,40,Union job,15
16,Not South,Otherwise,Otherwise,Female,Married,27,Otherwise,9
12,Not South,Otherwise,Otherwise,Female,Married,5,Union job,9.57
14,Not South,Otherwise,Otherwise,Male,Otherwise,22,Otherwise,15
8,Not South,Otherwise,Otherwise,Male,Married,42,Otherwise,11
12,Not South,Otherwise,Otherwise,Female,Married,14,Otherwise,5
17,Not South,Otherwise,Hispanic,Male,Married,18,Otherwise,24.98
17,Not South,Otherwise,Otherwise,Male,Otherwise,3,Otherwise,20.4
14,Not South,Otherwise,Hispanic,Male,Otherwise,4,Union job,25
14,Not South,Otherwise,Otherwise,Male,Otherwise,14,Otherwise,13.98
12,Not South,Otherwise,Otherwise,Male,Married,35,Otherwise,3.5
14,Not South,Otherwise,Hispanic,Male,Otherwise,0,Otherwise,5
16,Not South,Otherwise,Hispanic,Male,Married,7,Union job,10
16,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,26,Union job,15
13,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,3,Otherwise,5.83
13,Not South,Otherwise,Hispanic,Male,Otherwise,16,Otherwise,9.1
17,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,32,Otherwise,11.25
12,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,25,Union job,13
14,Not South,Otherwise,Otherwise,Female,Otherwise,15,Union job,8
12,Not South,Otherwise,Otherwise,Female,Married,38,Otherwise,4.28
16,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,17,Otherwise,7.88
12,Not South,Otherwise,Otherwise,Female,Otherwise,7,Otherwise,6.94
17,Not South,Otherwise,Otherwise,Female,Otherwise,5,Otherwise,24.98
14,Not South,Otherwise,Otherwise,Male,Married,22,Otherwise,10
