Rank,School,Region,Tuition,Acceptance Rate
1,Stanford,W,45921,7.9
7,Berkeley,W,37949,13.7
11,UCLA,W,37286,23.4
21,USC,W,40550,29
22,ASU,W,28220,31.6
29,BYU,W,8700,53
34,U Washington,W,29543,36.1
44,UC Davis,W,34874,25.5
44,UC Irvine,W,37394,44.2
55,U Arizona,W,26075,56
1,Harvard,N,48738,13.8
3,UPenn,N,49722,17.3
4,MIT,N,44792,19.7
4,Northwestern,N,43935,0
4,UChicago,N,45139,23.3
7,Dartmouth,N,43240,19.2
9,Columbia,N,45422,16.3
10,NYU,N,41822,17.1
12,U Michigan,N,43289,20.4
13,Yale,N,47182,14.7
14,Cornell,N,44260,26.7
14,Duke,S,45663,31.5
14,UVA,S,42602,28.9
17,Carnegie Mellon,N,45644,29.8
18,UT Austin,S,38222,34
19,UNC,S,39882,39.2
20,Indiana University,N,34852,34.4
22,Georgetown,S,40017,35
24,Emory,S,37576,36.8
25,U Rochester,N,37791,40.9
25,Wash U,N,38729,32.9
27,OSU,N,35337,30.2
27,U Minnesota,N,36596,41.1
29,Georgia Tech,S,30016,39.8
29,Texas A&M,S,25323,29.8
29,U Wisconsin,N,26536,32.7
33,Purdue,N,33462,32.8
34,Boston College,N,27024,37.8
34,U Florida,S,23103,43.6
34,Notre Dame,N,36040,44.3
38,U Illinois,N,29610,41.5
39,U Maryland,S,38575,31.5
40,Boston U,N,35370,31.3
40,Michigan State,N,26131,29.6
40,Penn State,N,30122,30
40,Rice,S,35558,39.4
44,SMU,S,39010,47.1
44,Vanderbilt,S,38552,46.9
48,Babson,N,35110,56.5
49,U Georgia,S,28162,30.5
49,U Iowa,N,24920,49.8
51,Temple,N,25245,56.2
52,UConn,N,21924,54.4
52,U Missouri,N,21672,62
54,Tulane,S,38820,66
55,Wake Forest,S,33400,50.2
57,VA Tech,S,13556,57.6
58,William & Mary,S,31924,59.1
59,NC State,S,22816,46.7
59,Rutgers,N,30027,54.1
59,U South Carolina,S,26000,58.5
62,Bentley College,N,29580,56.3
62,Louisianna State,S,11281,55.9
62,Syracuse,N,30360,50.3
62,U Oklahoma,S,12432,71.9
