Individual,Salary,Experience,Gender,Age
1,67.5,14,Male,Under
2,53.51,6,Male,Under
3,50.05,2,Female,Under
4,111.88,34,Male,Over
5,63.68,21,Male,Under
6,75.56,35,Female,Over
7,65.5,14,Male,Under
8,61.04,3,Male,Under
9,64.3,20,Female,Under
10,58.38,4,Male,Under
11,88.29,28,Male,Under
12,88.61,26,Male,Under
13,52.23,6,Female,Under
14,59.65,16,Female,Under
15,63.49,22,Female,Under
16,59.75,7,Male,Under
17,87.78,32,Female,Over
18,62.8,14,Male,Under
19,114.73,29,Male,Under
20,63.21,15,Male,Under
21,61.55,6,Male,Under
22,114.2,36,Male,Over
23,70.53,33,Female,Over
24,58.98,15,Female,Under
25,68.91,30,Female,Under
26,65.2,26,Female,Under
27,55.57,7,Male,Under
28,56.75,2,Male,Under
29,82.13,26,Male,Over
30,96.07,28,Male,Over
31,67.61,24,Male,Under
32,57.2,6,Female,Under
33,59.39,13,Male,Under
34,54.73,8,Female,Under
35,64.24,17,Female,Under
36,98.54,25,Male,Under
37,66.41,28,Female,Under
38,81.77,36,Female,Over
39,77.69,23,Male,Under
40,62.1,19,Female,Under
41,61.45,8,Female,Under
42,73.06,35,Female,Over
