Name ,HWYMPG,HP
Acura CL,29,225
Acura NSX,24,290
Acura RL,24,225
Acura RSX,31,160
Acura TL,29,225
Aston Martin DB7 Vantage,18,420
Aston Martin Vanquish,19,460
Audi A4 Cabriolet,31,170
Audi A6,27,220
Audi A8,24,310
Audi TT,31,180
Bentley Arnage R,15,400
Bentley Continental R,16,420
BMW Z4 Roadster,27,184
BMW Z8,21,394
BMW 3 series,32,184
BMW 5 series,28,184
BMW 7 series,26,325
Buick Century,29,175
Buick LeSabre,29,205
Buick Park Avenue,29,205
Buick Regal,29,200
Cadillac CTS,25,220
Cadillac DeVille,27,275
Cadillac Seville,27,275
Chevrolet Cavalier,32,140
Chevrolet Corvette,28,350
Chevrolet Impala,32,180
Chevrolet Malibu ,29,170
Chevrolet Monte Carlo,32,180
Dodge Intrepid,28,200
Dodge Neon,33,132
Dodge Stratus Coupe,29,147
Dodge Stratus Sedan,28,150
Dodge Viper,20,500
Chrysler Concorde,28,200
Chrysler PT Cruiser,27,150
Chrysler Sebring Convertible,30,150
Chrysler Sebring Coupe,29,147
Chrysler Sebring Sedan,28,150
Chrysler 300M,26,250
Ferrari Enzo,18,660
Ferrari 360 Modena,16,395
Ferrari 360 Spider,16,395
Ferrari 456M GT,20,436
Ferrari 575M Maranelli,16,515
Ford Crown Victoria,26,224
Ford Escort ZX2,33,130
Ford Focus,38,110
Ford Mustang,29,190
Ford Taurus,28,155
Ford Thunderbird,23,280
Honda Accord,34,160
Honda Civic,40,115
Honda Civic Hybrid,51,85
Honda Insight ,68,67
Honda S2000,26,240
Hyundai Accent,36,105
Hyundai Elantra,33,140
Hyundai Sonata,30,149
Hyundai Tiburon,32,140
Hyundai XG 350,26,194
Infiniti G35,24,260
Infiniti I35,26,255
Infiniti M45,23,340
Infiniti Q45,25,340
Jaguar XJ8,24,290
Jaguar Vanden Plas,24,290
Jaguar XK8,24,294
Jaguar S-Type,23,240
Jaguar X-Type,28,194
Kia Optima,30,149
Kia Rio,40,105
Kia Spectra,30,125
Lamborghini Murcielago,13,580
Lexus ES300,29,210
Lexus GS300,25,220
Lexus IS300,25,215
Lexus LS430,25,290
Lexus SC430,23,300
Lotus Esprit V8,22,350
Lincoln LS,25,232
Lincoln Town Car,25,239
Maserati Coupe,17,390
Maserati Spyder,17,390
Mazda Miata,29,142
Mazda Protégé,34,105
Mazda 6,30,160
Mercury Grand Marquis,25,224
Mercury Marauder,23,302
Mercury Sable,28,155
Mini Cooper,33,115
Mercedes-Bens C-Class,26,168
Mercedes-Bens C230 Sports Coupe,26,189
Mercedes-Bens CLK,29,215
Mercedes-Bens CL/S Class,24,275
Mercedes-Bens E-Class,28,221
Mercedes-Bens SL,21,302
Mercedes-Bens SLK,29,190
Mitsubishi Diamante,25,210
Mitsubishi Eclipse,31,147
Mitsubishi Galant,28,140
Mitsubishi Lancer,33,120
Mitsubishi Lancer Evolution VIII,24,270
Morgan Plus 8,30,188
Nissan Altima,29,175
Nissan Maxima,28,255
Nissan Sentra,35,126
Nissan 350Z,26,287
Oldsmobile Alero,33,140
Oldmobile Aurora,28,250
Panoz Esperante,28,320
Pontiac Bonneville,29,205
Pontiac Grand Am,32,140
Pontiac Grand Prix,30,175
Pontiac Sunfire,33,140
Pontiac Vibe,36,130
Porsche Boxster,29,225
Porsche 911 Carrera,25,320
Porsche 911 Turbo,22,415
Saab 9-3,27,175
Saab 9-5,30,185
Saleen S7,17,550
Saturn Ion,33,140
Saturn L-Series,33,135
Subaru Baja,25,165
Subaru Impreza,28,165
Subaru Legacy,27,165
Suzuki Aerio,32,145
Toyota Avalon,29,210
Toyota Camry,32,157
Toyota Camry Solara,28,157
Toyota Celica,32,140
Toyota Corolla,39,130
Toiyota Echo,41,108
Toyota Matriz,35,130
Totota MR2 Spyder ,30,138
Totota Prius,45,98
Volkswagen New Beetle,31,115
Volkswagen Golf,31,115
Volkswagen Jetta,31,115
Volkswagen Passat,31,170
Volvo C70,26,196
Volvo S40,32,170
Volvo S60,28,168
Volvo S80,26,197
Volvo V70,28,197
