STATE,FUELCON,POP,AREA
Alabama,547.92,4486508,50750
Alaska,440.38,643786,570374
Arizona,456.9,5456453,113642
Arkansas,530.08,2710079,52075
California,426.21,35116033,155973
Colorado,474.78,4506542,103729
Connecticut,432.44,3460503,4845
Delaware,492.97,807385,1955
Florida,461.55,16713149,53997
Georgia,564.82,8560310,57919
Hawaii,336.97,1244898,6423
Idaho,484.83,1341131,82751
Illinois,406.99,12600620,55593
Indiana,524.01,6159068,35870
Iowa,532.39,2936760,55875
Kansas,483.31,2715884,81823
Kentucky,532.77,4092891,39732
Louisiana,513.8,4482646,43566
Maine,472.68,1294464,30865
Maryland,463.46,5458137,9775
Massachusetts,436.57,6427801,7838
Michigan,504.95,10050446,56809
Minnesota,532.52,5019720,79617
Mississippi,541.06,2871782,46914
Missouri,549.16,5672579,68898
Montana,549.35,909453,145556
Nebraska,503.1,1729180,76878
Nevada,448.81,2173491,109806
New Hampshire,541.67,1275056,8969
New Jersey,465.52,8590300,7419
New Mexico,504.77,1855059,121364
New York,296.44,19157532,47224
North Carolina,510.05,8320146,48718
North Dakota,580.32,634110,68994
Ohio,458.31,11421267,40953
Oklahoma,523.89,3493714,68679
Oregon,439.09,3521515,96002
Pennsylvania,417.36,12335091,44820
Rhode Island,382.82,1069725,1045
South Carolina,557.53,4107183,30111
South Dakota,577.84,761063,75896
Tennessee,506.3,5797289,41219
Texas,502.17,21779893,261914
Utah,430.53,2316256,82168
Vermont,555.78,616592,9249
Virginia,529.52,7293542,39598
Washington,446.63,6068996,66581
West Virginia,466.31,1801873,24087
Wisconsin,466.08,5441196,54314
Wyoming,715.55,498703,97105
Washington D.C.,289.99,570898,61
