CASEID,SEX,AGE,RACE,MARITAL,CHILDS,AGEKDBRN,EARNRS,BORN,CLASS,DWELOWN,INCOMECAT,INCOME,RINCOMECAT,RINCOME,EDUC,SPEDU,PAEDU,MAEDUC,DEGREE,SPDEG,PADEG,MADEG,WRKSTAT,SPWRKSTA,HRS1,SPHRS1,WRKSLF,WRKGOVT,TVHOURS,PARTYID,PARTYID3,POLVIEWS,POLVIEWS3,CAPUN,GUNLAW,EQWLTH,HELPPOOR,HELPNOT,HELPSICK,TAX,ODDS1,ODDS2,HOTCORE,EARTHSUN,JOBLOSE,JOBFIND,SATJOB,RICHWORK,JOBINC,JOBSEC,JOBHOURS,JOBPROMO,JOBMEANS,NEWS,HAPPY,HAPMAR,HEALTH,LIFE,UNEMP,UNION,PARSOL,KIDSSOL
57062,1,53,1,3,0,,1,1,3,,21,"82,500",21,"82,500",16,,,9,3,,,0,1,0,60,,1,2,,5,3,6,3,1,1,7,5,5,5,2,,,,,,,2,2,,,,,,,1,,1,1,1,4,3,
57063,2,26,1,1,0,,2,1,3,,25,"175,000",21,"82,500",16,16,16,14,3,3,3,2,1,1,40,75,2,2,,5,3,5,3,2,1,2,3,4,3,1,,,,,,,2,2,,,,,,,1,1,1,1,1,4,1,2
57064,1,59,1,3,1,27,1,1,2,1,18,"45,000",,,13,,,12,1,,,1,4,0,,,2,2,4,6,3,5,3,1,2,,,,,2,,,,,,,1,2,2,3,5,4,1,2,3,,2,3,,,,
57065,2,56,1,1,2,38,3,1,3,1,25,"175,000",10,"13,750",16,16,12,12,3,3,1,1,2,1,20,40,2,2,2,5,3,4,2,2,,5,4,3,4,,2,1,1,1,4,3,1,,,,,,,1,1,1,,,2,4,1,3
57066,2,74,1,1,3,24,0,1,3,,,,,,17,15,8,17,3,1,0,4,5,5,,,2,1,,3,2,4,2,2,1,6,2,3,2,1,,,,,,,,,,,,,,,1,1,1,1,2,3,2,3
57067,2,56,1,1,1,23,2,1,3,1,25,"175,000",25,"175,000",17,14,16,14,3,2,3,1,1,1,60,60,1,2,1,6,3,5,3,1,1,,,,,2,,,,,4,1,2,1,1,4,3,5,2,1,2,1,1,1,,,,
57068,1,63,1,1,2,23,1,1,,1,,,,,12,,,,1,0,0,,,7,,,,,4,6,3,6,3,1,,6,5,5,3,,8,8,1,1,,,,,,,,,,5,2,1,,,,4,1,4
57069,1,34,1,1,2,24,2,1,2,1,21,"82,500",16,"32,500",17,20,12,12,4,4,1,1,1,1,40,60,2,2,2,,,4,2,1,,4,4,5,3,,2,8,1,1,3,3,2,,,,,,,2,1,1,,,1,4,3,1
57070,2,37,1,5,4,18,0,1,1,,11,"16,250",,,10,,,9,0,,,0,8,0,,,,,,3,2,4,2,1,1,1,1,3,1,,2,2,1,1,,,,,,,,,,,3,,4,3,2,4,5,2
57071,2,30,3,1,3,15,2,1,2,,22,"100,000",18,"45,000",15,12,,10,2,1,,0,1,1,55,60,2,2,,3,2,3,1,2,1,4,1,3,3,2,2,1,1,1,,,1,1,,,,,,,1,1,1,1,1,4,1,1
57072,2,43,3,1,2,36,1,2,2,,9,"11,250",,,5,6,2,0,0,0,0,0,7,1,,40,,,,3,2,6,3,2,1,1,1,1,1,2,,,,,,,3,,,,,,,,2,2,3,2,2,4,2,2
57073,1,56,1,5,0,,0,1,2,2,9,"11,250",,,11,,12,12,0,,1,1,8,0,,,2,2,10,3,2,4,2,,1,,,,,2,,,,,,,,,1,4,5,2,3,5,3,,4,3,,,,
57074,1,69,1,3,5,25,0,1,2,2,12,"18,750",,,8,,4,8,0,,0,0,5,0,,,2,2,4,3,2,3,1,1,1,,,,,1,,,,,,,,,2,5,4,3,1,1,2,,2,2,,,,
57075,2,40,1,1,2,18,1,1,1,2,14,"23,750",14,"23,750",11,11,,12,1,1,,1,1,4,37,,2,2,2,1,1,3,1,1,1,,,,,1,,,,,4,3,2,2,2,3,5,1,4,2,2,1,2,2,,,,
57076,2,25,1,5,0,,1,1,2,2,15,"27,500",15,"27,500",16,,12,,1,,1,,6,0,,,2,2,0,3,2,4,2,1,,1,1,2,1,,2,1,1,2,,,,,2,3,5,1,4,5,2,,,,2,4,1,
57077,1,56,1,1,3,24,2,1,2,2,20,"67,500",14,"23,750",16,14,6,12,1,2,0,1,2,1,6,40,1,2,6,6,3,6,3,1,,7,5,5,5,,2,1,1,1,4,3,1,,1,4,3,5,2,5,2,2,,,2,4,3,5
57078,2,51,3,3,3,24,2,2,1,,21,"82,500",21,"82,500",13,,12,12,1,,,,2,0,20,,2,2,,1,1,7,3,1,1,1,1,1,1,1,8,8,1,8,,,1,2,,,,,,,2,,1,1,1,4,1,2
57079,1,46,1,5,0,,1,1,2,,25,"175,000",25,"175,000",13,,12,12,1,,1,1,1,0,55,,1,2,,3,2,4,2,1,2,4,3,3,2,1,2,1,1,1,,,1,1,,,,,,,2,,2,2,2,4,2,
57080,1,51,1,1,2,21,2,2,2,2,15,"27,500",13,"21,250",14,12,,9,0,1,,0,1,1,50,40,2,2,2,4,2,3,1,1,,4,3,5,1,,2,2,1,8,3,3,2,,,,,,,1,2,2,,,1,4,1,3
57081,2,39,3,3,2,18,1,2,3,,7,"7,500",6,"6,500",8,,12,13,0,,1,1,1,0,38,,2,2,,1,1,4,2,2,1,6,5,5,2,2,8,8,1,8,,,2,1,,,,,,,1,,1,2,2,4,3,3
57082,2,30,2,3,2,20,1,2,3,2,14,"23,750",14,"23,750",14,,16,12,1,,3,1,1,0,38,,2,2,1,3,2,4,2,,1,,,,,2,,,,,4,1,1,1,1,5,4,2,3,5,1,,1,1,,,,
57083,2,36,1,5,3,17,1,2,3,2,,,,,12,,12,12,0,,1,1,7,0,,,,,3,4,2,6,3,1,,1,5,1,1,,2,2,8,2,,,2,,4,2,5,3,1,4,1,,,,2,4,3,3
57084,2,42,1,4,3,20,2,2,2,,9,"11,250",,,11,,6,,1,,0,,7,0,,,2,2,,1,1,4,2,2,1,2,3,3,1,1,,,,,,,4,,,,,,,,2,,2,1,1,4,1,1
57085,1,38,3,5,0,,1,2,1,,16,"32,500",,,14,,,,1,,0,,6,0,,,2,2,,1,1,2,1,,1,3,3,3,2,1,,,,,,,,,,,,,,,2,,1,2,1,4,3,1
57086,2,38,1,5,2,24,1,2,2,,16,"32,500",16,"32,500",15,,12,12,1,,1,1,1,0,40,,1,1,,0,1,2,1,2,1,5,3,3,1,1,2,1,1,1,,,2,1,,,,,,,2,,2,2,2,4,4,2
57087,2,28,2,5,0,,1,1,2,,1,500,,,18,,,14,4,,,2,2,0,28,,1,2,,2,2,4,2,2,2,6,2,5,3,1,,,,,,,3,1,,,,,,,3,,1,3,1,4,2,
57088,1,35,1,4,2,31,1,1,3,2,14,"23,750",14,"23,750",13,,16,16,1,,3,3,1,0,40,,2,2,2,3,2,4,2,1,2,,,,,1,,,,,3,2,2,2,1,2,5,3,4,4,2,,2,1,,,,
57089,1,57,1,1,6,28,6,1,3,1,23,"120,000",22,"100,000",16,12,16,10,3,1,3,0,1,1,40,35,1,2,1,5,3,6,3,2,,6,4,4,4,,2,1,1,1,4,3,3,,,,,,,1,2,1,,,2,2,2,3
57090,1,50,1,1,2,21,2,1,3,,25,"175,000",22,"100,000",15,12,10,12,1,1,0,1,1,1,40,40,2,2,,2,2,3,1,1,1,7,5,5,5,2,2,1,1,1,,,1,2,,,,,,,3,1,2,1,2,3,1,3
57091,1,54,1,3,1,36,1,1,2,,18,"45,000",18,"45,000",16,,18,18,3,,4,4,1,0,40,,2,2,,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,,,3,1,,,,,,,3,,1,1,1,4,4,2
57092,2,,1,1,0,,1,1,3,1,22,"100,000",,,17,16,8,12,3,3,0,1,7,5,,,2,2,3,3,2,6,3,1,1,,,,,1,,,,,,,2,,4,3,5,2,1,5,2,3,2,3,,,,
57093,2,61,1,3,3,17,3,1,3,2,21,"82,500",18,"45,000",16,,12,4,3,,1,0,1,0,40,,2,2,3,2,2,5,3,2,1,,,,,1,,,,,4,3,2,2,2,1,3,5,4,5,2,,2,1,,,,
57094,2,54,1,5,0,,1,1,3,1,25,"175,000",,,16,,12,10,3,,1,0,3,0,,,2,2,2,5,3,4,2,2,1,,,,,1,,,,,1,2,4,2,2,5,3,4,1,5,2,,2,2,,,,
57095,1,47,1,1,2,27,4,1,2,,,,,,16,16,6,6,3,3,0,0,1,7,70,,1,2,,,,4,2,1,1,6,1,1,1,2,2,1,1,1,,,2,1,,,,,,,3,1,2,1,2,4,1,1
57096,1,53,3,1,2,25,3,2,2,1,19,"55,000",,,12,16,8,8,1,3,0,0,1,1,40,40,2,2,4,1,1,4,2,1,,5,3,3,3,,2,2,1,1,4,2,2,,2,1,5,3,4,2,3,1,,,1,3,1,2
57097,2,37,2,1,2,24,4,2,1,,,,13,"21,250",12,12,,12,1,1,0,1,1,1,40,30,2,2,,3,2,1,1,1,1,3,3,3,3,1,,,,,,,2,1,,,,,,,1,1,2,2,2,4,3,1
57098,2,38,3,5,2,26,3,2,1,2,20,"67,500",8,"9,000",11,,6,5,0,,0,0,1,0,40,,2,2,4,3,2,3,1,2,2,,,,,2,,,,,4,3,1,2,5,4,1,3,2,5,1,,2,1,,,,
57099,1,31,1,3,0,,1,1,1,1,22,"100,000",18,"45,000",14,,15,13,1,,1,1,1,0,39,,2,2,0,4,2,4,2,1,,,4,3,5,,2,1,1,1,4,1,1,,1,2,4,3,5,5,1,,,,1,1,3,1
57100,2,69,1,2,2,19,1,1,3,,16,"32,500",,,10,,,12,0,,,1,2,0,15,,2,2,,5,3,4,2,1,1,4,3,5,5,1,,,,,,,2,1,,,,,,,2,,3,2,2,4,2,3
57101,1,35,1,1,1,33,2,1,3,,25,"175,000",22,"100,000",16,16,12,12,3,3,1,1,1,1,50,30,2,2,,1,1,2,1,1,1,2,1,4,3,1,,,,,,,2,1,,,,,,,2,2,2,1,2,4,1,3
57102,2,61,1,1,2,32,2,1,3,1,,,,,17,14,12,14,3,2,1,1,2,1,35,40,2,2,2,4,2,4,2,1,1,,,,,2,,,,,2,3,1,1,3,5,2,4,1,1,1,1,2,1,,,,
57103,1,80,1,1,3,21,2,1,3,1,19,"55,000",,,14,12,0,0,2,1,0,0,5,2,,40,2,1,2,6,3,5,3,1,1,,,,,1,,,,,,,,,1,5,4,2,3,1,2,1,2,2,,,,
57104,1,59,1,5,0,,1,1,1,,,,,,11,,9,10,0,,0,0,8,0,,,2,1,3,3,2,,,1,1,,,,,2,,,,,,,,,1,2,4,3,5,1,3,,4,2,,,,
57105,1,26,1,5,0,,3,1,1,1,,,16,"32,500",14,,12,12,1,,1,1,1,0,45,,2,2,3,2,2,1,1,,,1,2,3,2,,2,1,1,1,3,1,1,,1,5,4,2,3,4,2,,,,1,4,3,5
