obs,LE,INCOME,ACCESS
1,71.80000,2046.000,81.0000
2,60.20000,686.000,74.0000
3,76.40000,14826.000,100.0000
4,75.90000,11760.000,100.0000
5,73.20000,7944.000,100.0000
6,49.80000,296.000,18.0000
7,51.60000,3288.000,90.0000
8,50.30000,156.000,45.0000
9,52.60000,482.000,64.0000
10,64.50000,1456.000,76.0000
11,52.60000,324.000,75.0000
12,62.80000,462.000,89.0000
13,50.30000,292.000,56.0000
14,75.70000,11924.000,100.0000
15,48.00000,294.000,28.0000
16,48.30000,244.000,61.0000
17,63.20000,2560.000,90.0000
18,55.00000,392.000,80.0000
19,66.80000,1094.000,63.0000
20,66.30000,1038.000,89.0000
21,52.60000,248.000,81.0000
22,67.90000,7794.000,100.0000
23,72.30000,994.000,90.0000
24,59.30000,522.000,80.0000
25,53.60000,384.000,61.0000
26,70.70000,4956.000,99.0000
27,74.60000,13408.000,100.0000
28,71.30000,1974.000,100.0000
29,62.10000,3954.000,80.0000
30,45.50000,420.000,30.0000
31,44.00000,252.000,43.0000
32,71.40000,1472.000,97.0000
33,52.00000,744.000,31.0000
34,63.50000,780.000,74.0000
35,70.40000,19182.000,90.0000
36,74.70000,11076.000,100.0000
37,60.80000,1078.000,75.0000
38,52.20000,980.000,81.0000
39,74.10000,16624.000,100.0000
40,75.00000,9898.000,100.0000
41,71.80000,2036.000,82.0000
42,76.50000,9532.000,100.0000
43,70.80000,2366.000,100.0000
44,74.70000,13410.000,100.0000
45,55.60000,884.000,41.0000
46,77.40000,14784.000,100.0000
47,64.70000,360.000,80.0000
48,45.00000,150.000,30.0000
49,46.80000,230.000,49.0000
50,73.70000,5842.000,100.0000
51,62.50000,784.000,84.0000
52,54.30000,330.000,73.0000
53,75.10000,17714.000,100.0000
54,66.70000,1322.000,100.0000
55,52.20000,292.000,61.0000
56,49.50000,306.000,45.0000
57,77.70000,14280.000,100.0000
58,49.30000,360.000,51.0000
59,65.20000,1124.000,64.0000
60,47.50000,472.000,40.0000
61,65.60000,804.000,80.0000
62,74.70000,13730.000,100.0000
63,46.70000,186.000,15.0000
64,61.40000,1056.000,34.0000
65,51.50000,270.000,26.0000
66,76.60000,16192.000,100.0000
67,47.40000,166.000,49.0000
68,70.40000,2328.000,72.0000
69,54.30000,342.000,55.0000
70,74.50000,10490.000,100.0000
71,76.80000,19782.000,100.0000
72,64.60000,862.000,70.0000
73,65.10000,1180.000,91.0000
74,60.90000,604.000,72.0000
75,70.10000,396.000,93.0000
76,69.00000,2736.000,94.0000
77,70.10000,2142.000,100.0000
78,74.40000,1506.000,80.0000
79,76.90000,14472.000,100.0000
80,72.90000,15506.000,100.0000
81,68.00000,1246.000,60.0000
82,76.60000,11060.000,100.0000
83,46.50000,160.000,28.0000
84,61.00000,862.000,58.0000
85,50.10000,638.000,46.0000
