Year,Exp on Imports,PDI
1959,22.33,350.50
1960,22.85,365.40
1961,22.70,381.80
1962,24.98,405.10
1963,26.15,425.10
1964,28.10,462.50
1965,31.53,498.10
1966,37.05,537.50
1967,39.90,575.30
1968,46.55,625.00
1969,50.50,674.00
1970,55.75,735.70
1971,62.35,801.80
1972,74.23,869.10
1973,91.18,978.30
1974,127.48,1071.60
1975,122.73,1187.40
1976,151.13,1302.50
1977,182.43,1435.70
1978,212.25,1608.30
1979,252.68,1793.50
1980,293.83,2009.00
1981,317.75,2246.10
1982,303.20,2421.20
1983,328.68,2608.40
1984,405.13,2912.00
1985,417.25,3109.30
1986,453.25,3285.10
1987,509.10,3458.30
1988,554.48,3748.70
1989,591.50,4021.70
1990,630.33,4285.80
1991,624.30,4464.30
1992,668.58,4751.40
1993,720.88,4911.90
1994,814.48,5151.80
1995,903.58,5408.20
1996,964.80,5688.50
1997,1056.90,5988.80
1998,1115.88,6395.90
1999,1251.75,6695.00
2000,1475.75,7194.00
2001,1399.85,7486.80
2002,1430.33,7830.10
2003,1540.15,8162.50
2004,1797.78,8680.90
2005,2025.13,9092.00
2006,2238.08,9629.10
